City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
431,Candolim,IN,78.8,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
435,Xuddur,SO,76.55,broken clouds,4.1213,43.8894,Banjanay Hotel
436,Tabou,CI,78.03,scattered clouds,4.423,-7.3528,hotêl doufoulougou
438,Trelew,AR,73.04,clear sky,-43.249,-65.3051,Hotel Touring Club
440,Praia Da Vitoria,PT,70.05,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
441,Aljezur,PT,70.65,clear sky,37.3191,-8.8033,Amazigh Hostel
448,Rabo De Peixe,PT,72.28,light rain,37.8,-25.5833,Quinta das Giestas
450,Mbandaka,CD,75.16,light rain,0.0487,18.2603,Guest House Epervier
453,Badami,IN,74.86,overcast clouds,15.915,75.6768,Clarks Inn Badami
454,Una,IN,78.57,scattered clouds,20.8167,71.0333,Hotel Harbhole
457,Arrecife,ES,78.78,clear sky,28.963,-13.5477,Hotel Lancelot
458,North Myrtle Beach,US,74.05,clear sky,33.816,-78.68,Avista Resort
460,Rock Falls,US,73.87,clear sky,41.7798,-89.689,"Country Inn & Suites by Radisson, Rock Falls, IL"
465,Bage,BR,76.78,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
466,Quatre Cocos,MU,71.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
469,Olinda,BR,78.53,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
482,Gorgan,IR,71.56,clear sky,36.8387,54.4348,Khayyam Motel
495,Ponta Delgada,PT,73.51,light rain,37.7333,-25.6667,Vila Nova Hotel
497,La Maddalena,IT,71.65,clear sky,41.2142,9.4083,Hotel Il Gabbiano
498,Yanam,IN,77.61,overcast clouds,16.7333,82.2167,The Regency Hotel
515,Punjai Puliyampatti,IN,78.04,overcast clouds,11.35,77.2,¥@$★ HOME
518,Ejura,GH,76.21,light rain,7.3856,-1.3562,Samfrimps lodge
519,Sabha,LY,77.74,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
523,Matara,LK,77.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
527,Gwadar,PK,79.59,clear sky,25.1216,62.3254,Sadaf Resort
530,Fereydun Kenar,IR,75.29,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
542,Alexandria,EG,75.7,clear sky,31.2156,29.9553,Royal Crown Hotel
544,Juba,SS,71.49,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
545,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
547,San Ramon,US,76.57,clear sky,37.7799,-121.978,San Ramon Marriott
548,Port Blair,IN,79.56,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
